"-4",0.20955615009276363
"-399/100",0.21005761354380492
"-199/50",0.21049460199866826
"-397/100",0.21086645982437535
"-99/25",0.21117254848369102
"-79/20",0.2114122469730877
"-197/50",0.21158495226315854
"-393/100",0.2116900797415443
"-98/25",0.21172706365850993
"-391/100",0.2116953575753996
"-39/10",0.2115944348162876
"-389/100",0.2114237889232501
"-97/25",0.21118293411580008
"-387/100",0.21087140575515773
"-193/50",0.21048876081417625
"-77/20",0.21003457835391082
"-96/25",0.2095084600080052
"-383/100",0.20891003047628473
"-191/50",0.20823893802919038
"-381/100",0.20749485502496237
"-19/5",0.20667747844180462
"-379/100",0.20578653042762243
"-189/50",0.20482175887034815
"-377/100",0.20378293799235175
"-94/25",0.20266986897298933
"-15/4",0.20148238060399049
"-187/50",0.20022032998312925
"-373/100",0.19888360325249146
"-93/25",0.19747211638865503
"-371/100",0.19598581605327017
"-37/10",0.19442468051388617
"-369/100",0.19278872064645314
"-92/25",0.19107798103276918
"-367/100",0.18929254116828653
"-183/50",0.18743251679817563
"-73/20",0.18549806140243358
"-91/25",0.18348936785415396
"-363/100",0.1814066702789134
"-181/50",0.17925024614761345
"-361/100",0.17702041864009013
"-18/5",0.1747175593223699
"-359/100",0.17234209118658278
"-179/50",0.16989449210912633
"-357/100",0.16737529878948718
"-89/25",0.16478511123875078
"-71/20",0.16212459789258804
"-177/50",0.15939450142728095
"-353/100",0.1565956453574642
"-88/25",0.15372894148816296
"-351/100",0.15079539827772148
"-7/2",0.1477961301371333
"-349/100",0.1447323676379829
"-87/25",0.1416054685163841
"-347/100",0.13841692923246493
"-173/50",0.13516839666121716
"-69/20",0.13186167923878267
"-86/25",0.1284987565617651
"-343/100",0.12508178604291495
"-171/50",0.12161310479834748
"-341/100",0.11809522455780073
"-17/5",0.11453081719294289
"-339/100",0.11092268866868789
"-169/50",0.10727374012531309
"-337/100",0.10358691669944893
"-84/25",0.09986514781983859
"-67/20",0.09611128712827406
"-167/50",0.09232806578581626
"-333/100",0.08851807985328114
"-83/25",0.08468384210108255
"-331/100",0.08082794620810112
"-33/10",0.07695343170087476
"-329/100",0.073064541639872
"-82/25",0.06916834945426882
"-327/100",0.0652786074643925
"-163/50",0.06142768049351513
"-13/4",0.05789427329561834
"-81/25",0.05521357336924842
"-323/100",0.052759537941357584
"-161/50",0.05043630696850013
"-321/100",0.04818118933645966
"-16/5",0.04597537143708074
"-319/100",0.04453621950954175
"-159/50",0.04340827982949705
"-317/100",0.042358534646333684
"-79/25",0.041908737180652404
"-63/20",0.0418962752710233
"-157/50",0.04197307205016301
"-313/100",0.0421542745300901
