"-4","0.17032433092981054789286262337917185113915490663694619556130195528401553220927954294249849380042293193885283291989453917764932053765184469417347907890022496038912452257361588708083945884837882966599970360588218940758196846453111727074"
"-399/100","0.16754532113161088337204118647404440773568967848163727365528609786459572900100665781739500781295479390803196600051787405467916490210493902721683095006203194327181989055467094301674419192242597761660094374230547874729169065883158671903"
"-199/50","0.1647203000324448379973023142167167766073270710352713990530828066916647790108160837086957375345210834401454133024323514585403473981476330976931199654526720322057222489072837983689070033105487376797612670103796715479453268112041676696"
"-397/100","0.16184949766037776923396155446011447819356420341205513254443829381052728927617750257632170726468085862134359213741418345144960659914440068724922346715936782946914024206214114215594731925723328269632173203734971417442430981141291066007"
"-99/25","0.15893315364219689809097636548488533514788226571231393788421942061165060575009144759531291942416117829340552836299050193537377800275972179323350997752622487410891030666168152445932197934287203527114376487441966662312219944369961083881"
"-79/20","0.15597151723603554901704374319179681924827188156602422198930475700058560233380934450687177217455021829850646938048612766292021786917646211312792458813749056185588933765883075476981819123495807088605282209966208345587307549494727725229"
"-197/50","0.15296484736536577680939958418081173547206348584172279283229971115577000686611321323283932461366290429270149359610880874317115604443245815460146777590402865658749867337926379530324263212014272554817344617332031624907778233910024405537"
"-393/100","0.14991341265447750566754949477783440556253561735079467281188471909928095788018579810189853334237449246669481390002461447011476208856668844703334646856016849594572915426468723992788944995765138516816942839831877817188455624649304154113"
"-98/25","0.14681749146556089512029940649599199291351849868085877142145139552450945080421653107186869478800432105602019972890042814237503163664745248504243070996166279219434574267832346898731361530421750106828202374297455965275067081345337874186"
"-391/100","0.14367737193750697844892560190676850616240895852664375533127148041650785596566610350117505820947818940564464377328503451069048272027912555908980666970891945467215314840483546422466814670685607824938989130723155915534215851320647623302"
"-39/10","0.14049335202653968802467139852683359052218671193970132682925902949895049227678676690528784600154707703962901658416890395263028732907728802427497803097926314237819486272573991834612579840796043214062858417413376906922717225090364665198"
"-389/100","0.13726573954879018546592913130185222649685420449023291213590835317080588302665080194002307851717216847918045613308662043025626682148790421623742793640633850071010070672930865486812355663138602368717532806148577090695467322733584639324"
"-97/25","0.13399485222492194968010226071043004268347814598167327538988243881106010921258748225175824071906567373483897639835456911484458567722414882099236315253012620210476255339383725737634461007809620313942662059324592546200962778124240096945"
"-387/100","0.13068101772691233985944427811972892379616229106417082325795804628193474446124053760628550062880847316171695147523616400776007551005260894121826937891077230052828655808182215692982477538323826586982293372296199835546773447592155959621"
"-193/50","0.12732457372709334071555110155312179108239240356739562363200753503114833941150456974052041359548343441911325996134056529905501254102432968141719193608617585271188153968548524937799997359540328367344442976553278740217374579787672274493"
"-77/20","0.12392586794955091122798132089326210883764213912311142979200613608634366295712715577428552036297080865574095708115356360656058576112350428697622250910890707189561600942489084520634559348967365314295737517143740258383823194976408706008"
"-96/25","0.12048525822397879371612016963831974435917004884416137995275064428771438069772250121970871950545376273160915846307113259551525951592912675742356228051113951274834494615390405029236138913593236685693207159962823120361372634064888537403"
"-383/100","0.11700311254207879509754612853590980948750214233661446010060737821372330411724397268686804803538618200129213629657805643820589828907317176253284035434085941174128913581105528443034887772208230393800723495098916323825489622998296842757"
"-191/50","0.11347980911659542496861248959415132828690085908903903838341732166987083403689060943601321971815114723544042439510979413474024849225533420804278172078564462941709679908324466049161189267948115900449365855272985907021191248561883234012"
"-381/100","0.10991573644306836406556229194921744637594215904272342764263160112325714650831387455793654309087532680882396680173305438117938773381245937325999110794446034341824492535455117716709892534925113157276060336699574839401486253330138416714"
"-19/5","0.10631129336438154042280247266505316315583517704250966566060773532700643989521537320472773141665759030113651707282545856894021224799054392347050891063748474387960562499045445103727958242644616784203931456768402303381235936778557965407"
"-379/100","0.10266688913818260810657087376106961595057782060125217026067807781907105555362289949378220831371806616307258768987751298882040052498029900775616720990965742805640831163749124200377864314626560734274613313938115987150073124223921302476"
"-189/50","0.09898294350724135405843457513931757693217397737392201376207216187055304024486186264461382785288633352344119480325064328849096188055548070246977939079775291915908719834966025242829464715330017196291990918805246942250563004943596236144"
"-377/100","0.09525988677281000201140972446657068078293288084142857011888303411440377415762389966380576953412627362431732017503876381720856635823311544018979188328185247554404202943188437703560596463642377488278811470319519091711065728359495150697"
"-94/25","0.09149815987104253880199800301279448418038413885617365537190472447222871031027546107471908727765963760424703954095591912311777281455839612125994844616037689679383108261956561585693351225230501336704576141491682692720760745198806375087"
"-15/4","0.08769821445252405848819541210580847713793921322535777619562703352410431391919937997739823673557066183503133125392826065837592479049535710505346587511395623407716015642999922462245325679168104258875844452578672401214217327971126249107"
"-187/50","0.08386051296495470516989661379718251973094845239097603690405990753649079733759519484741419040103515348064431521116828375211108591517119102750555125710228707414124946794222085759039497504994133303646129857768493887720994498093202697383"
"-373/100","0.0799855287390260992534489309287670121490260262308296414984855497897788634056389341768860245079363014574802931865955018125133890789250458731064140870593946390427648803185474389029741958054843504909541780546255932996399487102585113931"
"-93/25","0.07607374607752115904490585301282894662553826339824388920883634122107470633463162058417247019054255934389451496091711782888071717472573522334139478177049632637429589174973650671868011266281988589067776663174323791155995198653669440093"
"-371/100","0.07212566034766098812880608578902563554566657160669687814194761017755895603401023429430464734682114254337308498460327734569697948710227791247103521378779415106489844329865244521783547898091805744425516677913746493616672571061952584278"
"-37/10","0.0681417780767150025071753398487205467367186612252678998217414108974867314320072974279365618344577841179549912365638677865295763054195481622939282691045327320043920348151426586188273447986475603833362053172698650841441642146862391332"
