x_scaled,amplitude
-4.0,0.07106540919831478
-3.959798994974874,0.05716753147435459
-3.919597989949749,0.04282346327617936
-3.879396984924623,0.028060705325391153
-3.8391959798994977,0.012910051670896755
-3.798994974874372,0.0026280286585562782
-3.758793969849246,0.01844370908805327
-3.7185929648241207,0.034564600238966126
-3.678391959798995,0.050934809476147605
-3.6381909547738696,0.06751196232785953
-3.5979899497487438,0.08425144499633365
-3.557788944723618,0.10110587727237555
-3.5175879396984926,0.11802494800782379
-3.477386934673367,0.13495531204713787
-3.4371859296482414,0.15184051406454196
-3.3969849246231156,0.16862093564329517
-3.35678391959799,0.18523376812921363
-3.3165829145728645,0.20161301550139824
-3.2763819095477387,0.2176895320340772
-3.2361809045226133,0.23339109959386828
-3.1959798994974875,0.24864254920742465
-3.1557788944723617,0.2633659310898536
-3.115577889447236,0.2774807366522636
-3.0753768844221105,0.29090417510784533
-3.035175879396985,0.3035515061749471
-2.9949748743718594,0.31533642904704023
-2.9547738693467336,0.32617152629054086
-2.914572864321608,0.33596875968405737
-2.8743718592964824,0.344640013284281
-2.834170854271357,0.35209767726716834
-2.7939698492462313,0.3582552644347716
-2.7537688442211055,0.36302804979526093
-2.7135678391959797,0.36633372242008067
-2.6733668341708543,0.3680930379624457
-2.633165829145729,0.3682304598847823
-2.592964824120603,0.36667477767615864
-2.5527638190954773,0.3633596912120311
-2.5125628140703515,0.35822435196031427
-2.472361809045226,0.35121385398234056
-2.4321608040201004,0.34227967059417075
-2.391959798994975,0.3313800360884835
-2.351758793969849,0.3184802759829934
-2.3115577889447234,0.30355309374214545
-2.271356783919598,0.2865788266749306
-2.2311557788944723,0.26754568858548705
-2.190954773869347,0.2464500215753525
-2.150753768844221,0.22329658399161834
-2.1105527638190953,0.19809890570907382
-2.07035175879397,0.1708797455663703
-2.030150753768844,0.14167168875652233
-1.9899497487437188,0.11051792458366382
-1.949748743718593,0.07747325006189677
-1.9095477386934672,0.04260538427037129
-1.8693467336683418,0.005999004294486064
-1.829145728643216,0.03225770429246857
-1.7889447236180902,0.0720362301130819
-1.7487437185929648,0.11320367356562884
-1.708542713567839,0.1555981874703179
-1.6683417085427137,0.19903092889930296
-1.6281407035175879,0.24328240780416976
-1.587939698492462,0.2880987623610228
-1.5477386934673367,0.3331879604577544
-1.507537688442211,0.37821606254637985
-1.4673366834170856,0.4228037254060445
-1.4271356783919598,0.4665231603899313
-1.386934673366834,0.5088957845773571
-1.3467336683417086,0.5493908135631441
-1.3065326633165828,0.5874250333425678
-1.2663316582914574,0.6223639484004916
-1.2261306532663316,0.6535244269753719
-1.1859296482412058,0.6801788481672463
