x_scaled,amplitude_mean
-4.0,0.16192429113309778
-3.959798994974874,0.15050568345132342
-3.919597989949749,0.13838781407285253
-3.879396984924623,0.1255705161536741
-3.8391959798994977,0.11208031401737663
-3.798994974874372,0.09794160514919517
-3.758793969849246,0.08318770979794564
-3.7185929648241207,0.06855631641311394
-3.678391959798995,0.05808421130975789
-3.6381909547738696,0.04846858013529989
-3.5979899497487438,0.043844259430322746
-3.557788944723618,0.041222956788881694
-3.5175879396984926,0.04326509250319473
-3.477386934673367,0.05381506663365098
-3.437185929648241,0.06611090399812522
-3.3969849246231156,0.08138129067695049
-3.35678391959799,0.09672842572310891
-3.3165829145728645,0.11210253812095719
-3.2763819095477387,0.12913248965737315
-3.236180904522613,0.14824437551324732
-3.1959798994974875,0.16729810451647292
-3.1557788944723617,0.18618988618527207
-3.1155778894472363,0.20484150941147802
-3.0753768844221105,0.22316543103105693
-3.0351758793969847,0.24106975225890237
-2.9949748743718594,0.25845602704631604
-2.9547738693467336,0.2752312139242114
-2.9145728643216082,0.2912857401895573
-2.8743718592964824,0.3065016957743142
-2.8341708542713566,0.32079455121025996
-2.7939698492462313,0.3340338368652995
-2.7537688442211055,0.3461194287617106
-2.71356783919598,0.3569256353638627
-2.6733668341708543,0.3663492319387899
-2.6331658291457285,0.3742667823930592
-2.592964824120603,0.380567923819405
-2.5527638190954773,0.3851519113311683
-2.512562814070352,0.38790951103137117
-2.472361809045226,0.3887357496870049
-2.4321608040201004,0.38753638926506206
-2.391959798994975,0.38422661123873386
-2.351758793969849,0.37872124130033635
-2.3115577889447234,0.37094812296100454
-2.271356783919598,0.3608422642651488
-2.2311557788944723,0.3483526242218367
-2.190954773869347,0.333407504734848
-2.150753768844221,0.3160080667587856
-2.1105527638190953,0.29610597697549473
-2.07035175879397,0.27368904795382665
-2.030150753768844,0.2487583781973644
-1.9899497487437185,0.22134375077262128
-1.949748743718593,0.19141133842212768
-1.9095477386934674,0.15905625841013507
-1.8693467336683418,0.12431188479170964
-1.829145728643216,0.08722594995086565
-1.7889447236180904,0.060360467009492956
-1.7487437185929648,0.04934497001902127
-1.7085427135678393,0.06119993686143996
-1.6683417085427135,0.0940408619657505
-1.6281407035175879,0.13229015580750117
-1.5879396984924623,0.17775497725120493
-1.5477386934673367,0.22739034153809382
-1.5075376884422111,0.2779354305888462
-1.4673366834170853,0.32902815081293924
-1.4271356783919598,0.38025802127809866
-1.3869346733668342,0.4311775155602635
-1.3467336683417086,0.48122903698985076
-1.306532663316583,0.5298561809625476
-1.2663316582914572,0.5763684394214216
-1.2261306532663316,0.6200233301593984
-1.185929648241206,0.6600087784434283
-1.1457286432160805,0.695447367362698
-1.1055276381909547,0.7253900095759266
-1.065326633165829,0.7488409698225852
-1.0251256281407035,0.7647511391034186
-0.9849246231155779,0.7720489521874672
-0.9447236180904522,0.7696155229465305
-0.9045226130653267,0.7563233806016524
-0.864321608040201,0.7310316650206908
-0.8241206030150754,0.6925986712317009
-0.7839195979899497,0.6397964061522413
-0.7437185929648241,0.5714006085824678
-0.7035175879396985,0.4861120802081442
-0.6633165829145728,0.38245315691292914
-0.6231155778894473,0.25885239160032375
-0.5829145728643216,0.11357212157481235
-0.542713567839196,0.08396105534899814
-0.5025125628140703,0.2503708302104382
-0.4623115577889447,0.473574178330584
-0.4221105527638191,0.7273375650754107
-0.38190954773869346,1.013623642239624
-0.3417085427135678,1.3334148986248122
-0.3015075376884422,1.6857280633197027
-0.2613065326633166,2.0664319712062182
-0.22110552763819097,2.466343290544842
-0.18090452261306533,2.8695894635213985
-0.1407035175879397,3.252494767694934
-0.10050251256281408,3.584381032118065
-0.06030150753768844,3.831513848808166
-0.020100502512562814,3.963977632087624
0.020100502512562814,3.9639667662883724
0.06030150753768844,3.8315125170782847
0.10050251256281408,3.5843748616867868
0.1407035175879397,3.252489590692504
0.18090452261306533,2.869592845963476
0.22110552763819097,2.4663350785730316
0.2613065326633166,2.0664193763887293
0.3015075376884422,1.6857097579036933
0.3417085427135678,1.3333682145109116
0.38190954773869346,1.0135817241459188
0.4221105527638191,0.7273255810081138
0.4623115577889447,0.4735894252210428
0.5025125628140703,0.25035333369829904
0.542713567839196,0.08396929673328289
0.5829145728643216,0.113547925602116
0.6231155778894473,0.25887483946719814
0.6633165829145728,0.382479926799096
0.7035175879396985,0.4861281645253154
0.7437185929648241,0.5714492740767301
0.7839195979899497,0.639820619106269
0.8241206030150754,0.6926050185287325
0.864321608040201,0.7309986083718155
0.9045226130653267,0.7563267972318457
0.9447236180904522,0.7695901122430368
0.9849246231155779,0.7720220265329384
1.0251256281407035,0.76480302845845
1.065326633165829,0.7488351237384823
1.1055276381909547,0.7253845283787413
1.1457286432160805,0.6954354471460242
1.185929648241206,0.660014025119665
1.2261306532663316,0.6200472870583117
1.2663316582914572,0.5763782188561941
1.306532663316583,0.5298460744559634
1.3467336683417086,0.48122557006682193
1.3869346733668342,0.43115811132003157
1.4271356783919598,0.3802549120173185
1.4673366834170853,0.3290122040572107
1.5075376884422111,0.27797342115647716
1.5477386934673367,0.22739903651043566
1.5879396984924623,0.17774146628148021
1.6281407035175879,0.13228207278049697
1.6683417085427135,0.09403946854626379
1.7085427135678393,0.06118109313806742
1.7487437185929648,0.04932009913691584
1.7889447236180904,0.06038603096395916
